ts,trade_id,symbol,RangeA_ATR,BodyA_ATR,RangeB_ATR,BodyB_ATR,WickB_Ratio,SumOppBody5_ATR,RangeExpansion,TimeoutProgress,TouchNextBarFVG,is_extremum_forecast,rr_ext,has_open_fvg_in_range,DistanceToExt_ATR,SumOpp_from_Ext_ATR,SumOpp_from_Ext_N_ATR,SumOpp_from_Ext_over_Dist,fc_beyond_bar,fc_count_upto_bar,ATR_regime_ratio,Session_Asian,Session_London,Session_NY,is_London_open,is_NY_open,open_order_ticket,is_profitable,profit
2015.08.20 12:00:00,302,EURUSD.TDS,1.862006,0.788016,2.21153,1.258284,0.060345,2.1734,1.522976,0.333333,0,1,0.134986,0,0.316275,1.823877,0.455969,0.009074,1,1,0.858001,0,1,0,1,0,,1,134.75
2016.02.29 11:00:00,316,EURUSD.TDS,1.365302,0.965517,3.243534,2.700431,0.032558,2.911638,2.402235,0.333333,0,1,0.220624,0,0.59907,5.317888,0.531789,0.011768,0,3,0.890719,0,1,0,1,0,,1,220.8
2016.05.09 11:00:00,322,EURUSD.TDS,1.934673,1.329648,2.265327,1.625126,0.279503,3.953769,1.699657,0.333333,1,1,0.498113,0,0.875829,3.770854,0.942714,0.00612,1,1,0.92081,0,1,0,1,0,,1,497.64
2016.11.30 11:00:00,344,EURUSD.TDS,1.203909,0.793485,3.66645,3.018893,0.079602,2.608469,2.527507,0.333333,1,1,0.110811,0,0.3316,2.608469,0.521694,0.008625,1,1,0.696779,0,1,0,1,0,,1,110.7
2017.03.02 12:00:00,350,EURUSD.TDS,1.321101,0.247706,1.816514,1.504587,0.09596,2.302752,1.500568,0.333333,1,1,0.181818,0,0.342159,1.477064,0.738532,0.004705,1,1,0.731083,0,1,0,1,0,,1,181.8
2017.06.26 11:00:00,354,EURUSD.TDS,1.695502,0.096886,2.858131,1.453287,0.40113,3.051903,2.110912,0.666667,1,1,0.481707,0,1.102692,4.71511,0.589389,0.002648,1,1,0.797259,0,1,0,1,0,,0,-1000.4
2017.10.24 12:00:00,364,EURUSD.TDS,1.929089,0.304593,1.218372,1.004029,0.175926,1.590653,1.003717,0.333333,1,1,0.265116,0,0.671717,1.522965,0.507655,0.00201,1,1,0.609528,0,1,0,1,0,,1,265.05
2018.08.13 11:00:00,382,EURUSD.TDS,1.216764,0.22123,1.476469,0.822398,0.221498,2.717279,1.417359,0.0,1,1,0.291925,0,0.427689,1.192717,0.596359,0.005799,0,1,1.496421,0,1,0,1,0,,0,-1001.42
2018.12.05 17:00:00,390,EURUSD.TDS,0.749568,0.01612,2.933794,2.635579,0.016484,2.023028,3.413033,0.333333,0,1,0.162304,0,0.43662,2.949914,0.491652,0.008383,1,2,0.953345,0,0,1,0,1,,1,162.44
2019.02.14 11:00:00,392,EURUSD.TDS,2.459316,0.926236,4.279848,2.821293,0.243781,3.68365,3.396705,0.333333,1,1,0.303977,0,0.908981,3.68365,0.73673,0.003806,0,1,1.17389,0,1,0,1,0,,0,-999.68
2019.10.24 16:00:00,402,EURUSD.TDS,1.170608,0.875,3.949324,3.334459,0.131737,3.263514,4.246662,0.666667,0,1,0.44898,0,1.240268,3.0625,0.765625,0.002088,1,1,1.192572,0,1,1,0,1,,0,-999.6
2019.11.08 12:00:00,404,EURUSD.TDS,1.875441,0.279671,2.237368,1.924794,0.036765,2.632197,1.602829,0.666667,0,1,0.134503,0,0.357381,4.26087,0.532609,0.007247,0,1,0.749871,0,1,0,1,0,,1,134.55
2020.02.06 11:00:00,412,EURUSD.TDS,1.744479,0.55205,4.394322,1.611987,0.080402,2.119874,3.19166,0.0,0,1,0.098361,0,0.318182,2.84858,0.356073,0.004054,1,1,0.719823,0,1,0,1,0,,1,98.28
2020.10.21 16:00:00,422,EURUSD.TDS,1.555556,0.681558,1.571592,0.962199,0.178571,2.87858,1.740675,0.333333,1,1,0.363208,0,0.574933,2.469645,0.823215,0.005357,0,1,1.138074,0,1,1,0,1,,1,363.44
2020.10.22 12:00:00,424,EURUSD.TDS,2.991165,1.484337,2.159036,1.900402,0.119792,2.75502,1.747043,0.333333,1,1,0.271111,0,0.630724,2.215261,0.553815,0.003123,1,2,0.828079,0,1,0,1,0,,1,270.84
2020.11.10 12:00:00,426,EURUSD.TDS,1.721311,1.134791,2.562842,1.785064,0.154229,2.448087,1.837294,0.666667,0,1,0.307902,0,0.652371,4.870674,0.487067,0.011711,1,1,0.761958,0,1,0,1,0,,1,307.36
2020.12.21 12:00:00,430,EURUSD.TDS,2.608033,2.002078,2.215374,2.040859,0.07221,3.049169,2.54242,0.333333,1,1,0.142023,0,0.313401,2.002078,2.002078,0.013178,1,1,1.624716,0,1,0,1,0,,1,142.35
2021.01.21 11:00:00,434,EURUSD.TDS,1.99674,1.300733,2.578647,1.437653,0.238938,2.07661,1.71277,0.0,1,1,0.348837,0,0.606061,1.734311,0.867156,0.002508,1,1,0.819682,0,1,0,1,0,,1,348.6
2021.04.07 11:00:00,436,EURUSD.TDS,2.255626,0.478848,2.091809,1.121512,0.168675,1.80198,1.684424,0.333333,1,1,0.201342,0,0.351464,0.478848,0.478848,0.001081,0,1,0.80125,0,1,0,1,0,,1,201.3
2021.05.10 12:00:00,440,EURUSD.TDS,2.360746,1.238424,3.434692,2.215619,0.121127,3.405667,1.977716,0.333333,0,1,0.178363,0,0.504132,3.405667,0.681133,0.006982,0,1,0.982268,0,1,0,1,0,,1,178.12
2021.05.27 12:00:00,444,EURUSD.TDS,1.52623,0.860656,4.004918,2.708197,0.068768,2.398361,3.053368,0.333333,0,1,0.236025,0,0.716981,2.398361,0.479672,0.002915,1,1,0.887135,0,1,0,1,0,,1,242.01
2021.09.21 12:00:00,452,EURUSD.TDS,2.24674,0.645938,1.97994,1.039117,0.205674,1.97994,1.658824,0.333333,0,1,0.358491,0,0.736842,1.97994,0.395988,0.001914,1,2,0.856689,0,1,0,1,0,,1,358.53
2021.12.03 17:00:00,458,EURUSD.TDS,3.159261,0.943585,1.845232,1.195207,0.333333,2.823764,2.147214,0.333333,0,1,0.282178,0,0.726115,2.823764,0.564753,0.005564,1,1,1.024556,0,0,1,0,1,,1,282.72
2021.12.27 11:00:00,460,EURUSD.TDS,1.221594,1.160075,2.135593,1.546767,0.078189,1.801632,2.037736,0.0,0,1,0.40991,0,0.767932,3.383553,0.483365,0.005013,1,1,1.109899,0,1,0,1,0,,1,409.5
2021.12.30 16:00:00,462,EURUSD.TDS,2.172266,1.470984,3.455101,3.386683,0.014851,4.618204,3.903382,0.333333,1,1,0.09828,0,0.29819,3.549175,1.183058,0.013917,1,1,1.238166,0,1,1,0,1,,1,98.4
2022.04.05 12:00:00,466,EURUSD.TDS,1.953226,0.643548,2.596774,1.580645,0.256522,2.370968,2.077687,1.0,1,1,0.354067,0,0.768546,3.996774,0.444086,0.004606,1,1,0.627829,0,1,0,1,0,,1,353.72
2022.04.13 16:00:00,468,EURUSD.TDS,1.583678,0.282025,1.424587,0.940083,0.152284,2.719008,1.461424,1.0,1,1,0.221477,0,0.444231,3.731405,0.621901,0.011616,0,2,0.924514,0,1,1,0,1,,1,221.76
2022.06.03 17:00:00,472,EURUSD.TDS,2.733773,0.962596,2.887789,2.148515,0.208,3.134213,3.30251,0.333333,0,1,0.474328,0,1.25799,4.29703,0.477448,0.004436,1,2,1.010101,0,0,1,0,1,,0,-1042.0
2022.09.30 11:00:00,478,EURUSD.TDS,2.026499,1.145412,1.924478,1.54422,0.137349,2.355747,1.491733,0.333333,1,1,0.259346,0,0.481115,2.541239,0.42354,0.01139,1,1,0.800841,0,1,0,1,0,,1,259.74
