ts;trade_id;symbol;RangeA_ATR;BodyA_ATR;RangeB_ATR;BodyB_ATR;WickB_Ratio;SumOppBody5_ATR;RangeExpansion;TimeoutProgress;TouchNextBarFVG;is_extremum_forecast;rr_ext;has_open_fvg_in_range;DistanceToExt_ATR;SumOpp_from_Ext_ATR;SumOpp_from_Ext_N_ATR;SumOpp_from_Ext_over_Dist;fc_beyond_bar;fc_count_upto_bar;ATR_regime_ratio;Session_Asian;Session_London;Session_NY;is_London_open;is_NY_open;open_order_ticket;is_profitable;profit
2005.12.26 12:00:00;24;EURUSD.TDS;1.096238;0.36133;1.439195;0.630796;0.021277;1.641295;1.252331;0.333333;1;1;1.009901;0;1.190992;1.641295;0.328259;0.00225;1;2;0.962754;0;1;0;1;0;;0;-999.9
2006.01.04 11:00:00;26;EURUSD.TDS;1.336137;0.117761;0.593335;0.353284;0.236641;1.096085;0.524525;0.0;1;1;1.52381;0;1.322401;1.019088;0.254772;0.001701;0;2;1.322553;0;1;0;1;0;;1;1523.52
2006.03.17 11:00:00;28;EURUSD.TDS;1.090129;0.901288;2.154506;1.60515;0.211155;2.283262;1.426542;0.666667;1;1;0.724891;0;1.31448;3.896996;0.433;0.003454;0;3;0.819307;0;1;0;1;0;;1;725.42
2006.03.23 12:00:00;30;EURUSD.TDS;1.024606;0.150158;0.812618;0.379811;0.043478;1.369085;0.648344;0.333333;1;1;1.719626;0;1.659794;0.980442;0.24511;0.000669;1;1;0.67799;0;1;0;1;0;;1;1720.4
2006.04.27 16:00:00;32;EURUSD.TDS;1.939362;0.892838;1.610037;0.987977;0.136364;3.929953;1.560284;0.666667;0;1;1.871111;0;2.907745;6.264506;0.522042;0.002944;0;3;0.794905;0;1;1;0;1;;1;1869.24
2006.06.12 11:00:00;34;EURUSD.TDS;1.917241;0.365517;1.737931;1.282759;0.142857;1.958621;1.121995;0.0;1;1;0.302857;0;0.687674;2.062069;0.343678;0.004348;1;2;0.747484;0;1;0;1;0;;1;303.16
2006.07.06 12:00:00;36;EURUSD.TDS;0.952493;0.328446;1.609384;1.009971;0.372449;2.430499;1.261261;0.666667;0;1;1.45509;0;1.929665;5.02522;0.502522;0.003172;1;3;0.720303;0;1;0;1;0;;0;-1000.33
2006.08.02 16:00:00;38;EURUSD.TDS;0.988998;0.389114;1.96989;0.47018;0.444444;2.334684;1.738197;0.666667;0;1;3.025862;0;2.634853;2.885929;0.412276;0.001351;0;2;0.756402;0;1;1;0;1;;0;-999.92
2006.08.14 16:00:00;40;EURUSD.TDS;0.856158;0.711456;1.60379;1.091301;0.052632;3.086994;1.526542;0.666667;1;1;0.915751;0;1.489996;2.70112;0.67528;0.003007;1;1;0.862629;0;1;1;0;1;;0;-999.18
2006.10.09 16:00:00;42;EURUSD.TDS;0.974247;0.245479;1.265753;0.866849;0.236364;1.703014;1.230884;0.333333;0;1;1.284091;0;1.668776;5.109041;0.425753;0.003991;0;3;0.865508;0;1;1;0;1;;0;-989.37
2007.01.10 11:00:00;44;EURUSD.TDS;1.10828;0.33758;1.318471;0.745223;0.111111;2.261146;1.243617;0.0;1;1;1.859649;0;1.947507;2.261146;0.452229;0.001823;0;1;0.897551;0;1;0;1;0;;0;-1000.35
2007.01.25 12:00:00;46;EURUSD.TDS;1.039189;0.213001;1.923467;1.136007;0.288591;3.040111;1.727536;1.0;1;1;0.817241;0;1.440729;4.130936;0.516367;0.004442;1;4;1.00756;0;1;0;1;0;;1;817.65
2007.02.16 17:00:00;48;EURUSD.TDS;2.311868;0.528059;1.687213;0.830727;0.114504;2.421343;1.771467;0.666667;0;1;2.032;0;3.080121;5.151794;0.343453;0.002597;0;5;1.037893;0;0;1;0;1;;1;1887.62
2007.03.06 12:00:00;50;EURUSD.TDS;0.78825;0.142799;0.879641;0.594043;0.24026;3.055896;0.844993;0.666667;0;1;2.620253;0;2.339927;5.397797;0.53978;0.004039;0;4;0.973415;0;1;0;1;0;;0;-988.64
