ts,trade_id,symbol,RangeA_ATR,BodyA_ATR,RangeB_ATR,BodyB_ATR,WickB_Ratio,SumOppBody5_ATR,RangeExpansion,TimeoutProgress,TouchNextBarFVG,is_extremum_forecast,rr_ext,has_open_fvg_in_range,DistanceToExt_ATR,SumOpp_from_Ext_ATR,SumOpp_from_Ext_N_ATR,SumOpp_from_Ext_over_Dist,fc_beyond_bar,fc_count_upto_bar,ATR_regime_ratio,Session_Asian,Session_London,Session_NY,is_London_open,is_NY_open,open_order_ticket,is_profitable,profit,rr_ext_less_0_5
2021.12.30 16:00:00,326,EURUSD.TDS,2.172266,1.470984,3.455101,3.386683,0.014851,4.618204,3.903382,0.333333,1,1,0.09828,0,0.29819,3.549175,1.183058,0.013917,1,1,1.238166,0,1,1,0,1,,1,98.4,1
2022.04.05 12:00:00,338,EURUSD.TDS,1.953226,0.643548,2.596774,1.580645,0.256522,2.370968,2.077687,1.0,1,1,0.354067,0,0.768546,3.996774,0.444086,0.004606,1,1,0.627829,0,1,0,1,0,,1,353.72,1
2022.04.13 16:00:00,342,EURUSD.TDS,1.583678,0.282025,1.424587,0.940083,0.152284,2.719008,1.461424,1.0,1,1,0.221477,0,0.444231,3.731405,0.621901,0.011616,0,2,0.924514,0,1,1,0,1,,1,221.76,1
2022.06.03 17:00:00,350,EURUSD.TDS,2.733773,0.962596,2.887789,2.148515,0.208,3.134213,3.30251,0.333333,0,1,0.474328,0,1.25799,4.29703,0.477448,0.004436,1,2,1.010101,0,0,1,0,1,,0,-1042.0,1
2022.09.30 11:00:00,368,EURUSD.TDS,2.026499,1.145412,1.924478,1.54422,0.137349,2.355747,1.491733,0.333333,1,1,0.259346,0,0.481115,2.541239,0.42354,0.01139,1,1,0.800841,0,1,0,1,0,,1,259.74,1
2022.11.14 12:00:00,2,EURUSD,1.334812,0.889874,1.883222,1.645233,0.120879,2.664449,1.6167,0.333333,1,1,0.381201,0,0.7,2.302291,0.76743,0.006357,1,1,0.850531,0,1,0,1,0,,1,375.68,1
2022.12.16 11:00:00,8,EURUSD,2.146179,1.66113,2.345515,1.634551,0.13881,2.239203,1.350679,0.0,1,1,0.233553,0,0.463403,1.66113,1.66113,0.005395,1,1,0.749209,0,1,0,1,0,,0,-1007.15,1
2023.04.17 12:00:00,36,EURUSD,1.379562,0.541606,2.994161,2.759124,0.027304,2.983942,1.915033,0.333333,0,1,0.088319,0,0.281088,2.789781,0.697445,0.009712,1,1,0.832825,0,1,0,1,0,,1,82.1,1
2023.09.15 17:00:00,62,EURUSD,1.636238,0.416321,1.75242,1.103734,0.325967,1.75242,1.795635,0.333333,1,1,0.415205,0,0.640877,1.481328,0.370332,0.002387,1,1,0.882795,0,0,1,0,1,,1,402.87,1
2023.09.19 11:00:00,64,EURUSD,1.079108,0.141988,2.868154,2.243408,0.039604,1.547667,2.140964,0.0,0,1,0.227979,0,0.571429,4.415822,0.441582,0.005442,1,3,0.643236,0,1,0,1,0,,1,216.84,1
