ts,trade_id,symbol,RangeA_ATR,BodyA_ATR,RangeB_ATR,BodyB_ATR,WickB_Ratio,SumOppBody5_ATR,RangeExpansion,TimeoutProgress,TouchNextBarFVG,is_extremum_forecast,rr_ext,has_open_fvg_in_range,DistanceToExt_ATR,SumOpp_from_Ext_ATR,SumOpp_from_Ext_N_ATR,SumOpp_from_Ext_over_Dist,fc_beyond_bar,fc_count_upto_bar,ATR_regime_ratio,Session_Asian,Session_London,Session_NY,is_London_open,is_NY_open,open_order_ticket,is_profitable,profit
2015.09.21 12:00:00,38,EURUSD.TDS,1.246264,0.823262,1.491878,1.082521,0.0,2.560754,1.432002,0.666667,1,1,0.844512,0,1.198764,3.465887,0.495127,0.006357,1,3,1.125253,0,1,0,1,0,,1,844.85
2015.09.23 16:00:00,40,EURUSD.TDS,1.075867,0.07325,1.83584,1.41465,0.209476,2.888816,2.042792,0.666667,0,1,0.591422,0,1.087137,4.12034,0.515043,0.008279,0,2,1.13398,0,1,1,0,1,,0,-1001.18
2015.09.29 17:00:00,42,EURUSD.TDS,1.497962,0.965353,2.377717,1.53125,0.162,3.457201,2.684564,0.666667,0,1,1.004587,0,1.829356,3.457201,0.69144,0.003974,1,1,1.027685,0,0,1,0,1,,0,-1039.77
2015.10.26 16:00:00,44,EURUSD.TDS,1.098606,0.462571,2.132163,1.192566,0.016949,2.833247,2.028188,0.666667,1,1,0.606154,0,1.294836,2.385132,0.596283,0.002549,1,1,0.826552,0,1,1,0,1,,1,606.76
2015.12.30 12:00:00,50,EURUSD.TDS,1.086567,0.135821,1.556716,0.501493,0.181208,2.120896,0.98545,0.333333,0,1,2.708333,0,3.34313,6.425373,0.642537,0.00184,1,4,0.725766,0,1,0,1,0,,1,2752.63
2016.02.29 11:00:00,54,EURUSD.TDS,1.365302,0.965517,3.243534,2.700431,0.032558,2.911638,2.402235,0.333333,0,1,0.220624,0,0.59907,5.317888,0.531789,0.011768,0,3,0.890719,0,1,0,1,0,,1,220.8
2016.05.02 11:00:00,58,EURUSD.TDS,1.133773,0.646671,1.881224,0.688662,0.111607,1.889622,1.474169,0.0,1,1,0.641791,0,1.04635,1.318536,0.329634,0.0015,0,1,0.724148,0,1,0,1,0,,1,642.42
2016.05.06 17:00:00,60,EURUSD.TDS,4.833997,0.613546,2.361222,0.644533,0.566929,0.89243,2.822222,0.666667,0,1,0.714545,0,2.128433,3.941567,0.262771,0.002988,1,4,1.136663,0,0,1,0,1,,1,718.57
2016.05.09 11:00:00,62,EURUSD.TDS,1.934673,1.329648,2.265327,1.625126,0.279503,3.953769,1.699657,0.333333,1,1,0.498113,0,0.875829,3.770854,0.942714,0.00612,1,1,0.92081,0,1,0,1,0,,1,497.64
2016.05.17 12:00:00,66,EURUSD.TDS,1.795437,1.02439,1.828482,1.520063,0.13253,3.998426,1.596922,0.666667,1,1,0.841772,0,1.365103,2.533438,1.266719,0.001685,1,1,0.80499,0,1,0,1,0,,1,841.89
